lambda_um,ref,tran,emit,abs_silicon,emit_atm,ref_norm,emit_norm,abs_silicon_norm
15.506186,0.23227619,-2.7755576e-17,0.76772381,0.043933635,1,0.23227619,0.76772381,0.043933635
15.525896,0.2322959,-5.5511151e-17,0.7677041,0.044123636,1,0.2322959,0.7677041,0.044123636
15.545606,0.23231561,0,0.76768439,0.044313638,1,0.23231561,0.76768439,0.044313638
15.565315,0.23233532,-5.5511151e-17,0.76766468,0.04450364,1,0.23233532,0.76766468,0.04450364
15.585025,0.23235503,0,0.76764497,0.044693641,1,0.23235503,0.76764497,0.044693641
15.604735,0.23200827,0,0.76799173,0.045653889,1,0.23200827,0.76799173,0.045653889
15.624444,0.23050244,-8.3266727e-17,0.76949756,0.049050267,1,0.23050244,0.76949756,0.049050267
15.644154,0.22899662,0,0.77100338,0.052446644,1,0.22899662,0.77100338,0.052446644
15.663864,0.2274908,-2.7755576e-17,0.7725092,0.055843021,1,0.2274908,0.7725092,0.055843021
15.683574,0.22598498,0,0.77401502,0.059239398,1,0.22598498,0.77401502,0.059239398
15.703283,0.22439675,-5.5511151e-17,0.77560325,0.062803912,1,0.22439675,0.77560325,0.062803912
15.722993,0.22239621,-5.5511151e-17,0.77760379,0.067209624,1,0.22239621,0.77760379,0.067209624
15.742703,0.22039568,-2.7755576e-17,0.77960432,0.071615335,1,0.22039568,0.77960432,0.071615335
15.762412,0.21839514,-5.5511151e-17,0.78160486,0.076021047,0.99998577,0.21839514,0.78160486,0.076021047
15.782122,0.2163946,5.5511151e-17,0.7836054,0.080426758,0.99999977,0.2163946,0.7836054,0.080426758
15.801832,0.21440396,2.7755576e-17,0.78559604,0.084826131,0.99999922,0.21440396,0.78559604,0.084826131
15.821542,0.21250986,-5.5511151e-17,0.78749014,0.089163647,0.99999353,0.21250986,0.78749014,0.089163647
15.841251,0.21061575,0,0.78938425,0.093501163,0.99962535,0.21061575,0.78938425,0.093501163
15.860961,0.20872165,-2.7755576e-17,0.79127835,0.097838679,0.99993643,0.20872165,0.79127835,0.097838679
15.880671,0.20682755,2.7755576e-17,0.79317245,0.10217619,0.99871285,0.20682755,0.79317245,0.10217619
15.90038,0.20493132,-8.3266727e-17,0.79506868,0.10651741,0.99989922,0.20493132,0.79506868,0.10651741
15.92009,0.20292684,-5.5511151e-17,0.79707316,0.1110467,0.99730351,0.20292684,0.79707316,0.1110467
15.9398,0.20092236,-5.5511151e-17,0.79907764,0.11557599,0.99983534,0.20092236,0.79907764,0.11557599
15.95951,0.19891788,-8.3266727e-17,0.80108212,0.12010529,0.99860434,0.19891788,0.80108212,0.12010529
15.979219,0.19691341,-5.5511151e-17,0.80308659,0.12463458,0.99992339,0.19691341,0.80308659,0.12463458
15.998929,0.19490893,-5.5511151e-17,0.80509107,0.12916387,0.99993395,0.19490893,0.80509107,0.12916387
16.018639,0.1930256,-2.7755576e-17,0.8069744,0.13333157,0.99964125,0.1930256,0.8069744,0.13333157
16.038348,0.19114924,-2.7755576e-17,0.80885076,0.13747849,0.95981108,0.19114924,0.80885076,0.13747849
16.058058,0.18927287,-2.7755576e-17,0.81072713,0.14162542,0.99779316,0.18927287,0.81072713,0.14162542
16.077768,0.18739651,-2.7755576e-17,0.81260349,0.14577234,0.86425659,0.18739651,0.81260349,0.14577234
