lambda_um,n,k
7.401501,3.42291,2.431e-05
7.416368,3.422909,2.464e-05
7.431236,3.422909,2.514e-05
7.446103,3.422908,2.564e-05
7.46097,3.422907,2.615e-05
7.475838,3.422906,2.665e-05
7.490705,3.422906,2.715e-05
7.505573,3.422905,2.766e-05
7.52044,3.422904,2.816e-05
7.535308,3.422903,2.867e-05
7.550175,3.422902,2.917e-05
7.565043,3.422902,2.967e-05
7.57991,3.422901,3.018e-05
7.594777,3.4229,3.068e-05
7.609645,3.422899,3.119e-05
7.624512,3.422899,3.17e-05
7.63938,3.422898,3.22e-05
7.654247,3.422897,3.271e-05
7.669115,3.422896,3.321e-05
7.683982,3.422895,3.372e-05
7.698849,3.422879,3.38e-05
7.713717,3.422844,3.339e-05
7.728584,3.42281,3.298e-05
7.743452,3.422775,3.257e-05
7.758319,3.422741,3.216e-05
7.773187,3.422706,3.175e-05
7.788054,3.422672,3.134e-05
7.802921,3.422637,3.093e-05
7.817789,3.422602,3.053e-05
7.832656,3.422568,3.012e-05
7.847524,3.422533,2.971e-05
7.862391,3.422499,2.93e-05
7.877259,3.422464,2.889e-05
7.892126,3.422429,2.848e-05
7.906993,3.422395,2.808e-05
7.921861,3.42236,2.767e-05
7.936728,3.422326,2.726e-05
7.951596,3.422291,2.685e-05
7.966463,3.422256,2.645e-05
7.981331,3.422222,2.604e-05
7.996198,3.422187,2.563e-05
8.011066,3.422178,2.586e-05
8.025933,3.422177,2.631e-05
8.0408,3.422176,2.676e-05
8.055668,3.422175,2.722e-05
8.070535,3.422174,2.767e-05
8.085403,3.422173,2.812e-05
8.10027,3.422173,2.857e-05
8.115138,3.422172,2.902e-05
8.130005,3.422171,2.947e-05
8.144872,3.42217,2.992e-05
8.15974,3.422169,3.038e-05
8.174607,3.422168,3.083e-05
8.189475,3.422168,3.128e-05
8.204342,3.422167,3.173e-05
8.21921,3.422166,3.219e-05
8.234077,3.422165,3.264e-05
8.248944,3.422164,3.309e-05
8.263812,3.422163,3.355e-05
8.278679,3.422163,3.4e-05
8.293547,3.422162,3.445e-05
8.308414,3.422161,3.491e-05
8.323282,3.42216,3.536e-05
8.338149,3.422159,3.607e-05
8.353017,3.422158,3.724e-05
8.367884,3.422157,3.842e-05
8.382751,3.422157,3.96e-05
8.397619,3.422156,4.077e-05
8.412486,3.422155,4.195e-05
8.427354,3.422154,4.313e-05
8.442221,3.422153,4.43e-05
8.457089,3.422152,4.548e-05
8.471956,3.422151,4.666e-05
8.486823,3.422151,4.784e-05
8.501691,3.42215,4.902e-05
8.516558,3.422149,5.019e-05
8.531426,3.422148,5.137e-05
8.546293,3.422147,5.255e-05
8.561161,3.422146,5.373e-05
8.576028,3.422145,5.491e-05
8.590895,3.422144,5.609e-05
8.605763,3.422143,5.727e-05
8.62063,3.422143,5.845e-05
8.635498,3.422142,5.963e-05
8.650365,3.422141,6.081e-05
8.665233,3.42214,6.199e-05
8.6801,3.422139,6.317e-05
8.694967,3.422138,6.435e-05
8.709835,3.422137,6.628e-05
